# GREAT version 3.0.0	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009L18Rik	. (+5071)
Dnajc8	. (+73)
Dnajc9	. (-4769)
Dnase1l3	. (+54)
Dnlz	. (-79)
Dnm1	. (-9726)
Dnm1l	. (+158)
Dnmt1	. (+112)
Dnmt3a	. (-25380), . (-555), . (+27569)
Dnpep	. (-258)
Dnph1	. (+27)
Doc2g	. (-2859)
Dohh	. (-102)
Dok1	. (+36510)
Dolk	. (+159)
Dom3z	. (+3)
Dopey1	. (-2256), . (+88)
Dos	. (-4100)
Dot1l	. (-153)
Dpagt1	. (-136)
Dph1	. (-16)
Dph3	. (+60)
Dph5	. (-164)
Dpm2	. (-51)
Dpp8	. (+22)
Dpp9	. (+23)
Dpy19l4	. (-109)
Dpy30	. (+7381)
Dpysl2	. (+60)
Dqx1	. (-3205)
Dr1	. (-147)
Drg2	. (-20)
Drosha	. (-105)
Dscr3	. (+136)
Dtd1	. (+192)
Dtl	. (-389)
Dtnb	. (+209259)
Dtwd2	. (+36)
Dtx3l	. (-580)
Dtymk	. (-1827), . (-72)
Duox1	. (+33123)
Dus2l	. (-72)
Dus3l	. (-2569), . (+340)
Dusp1	. (-43)
Dusp12	. (-16326), . (+256)
Dusp23	. (-48)
Dusp5	. (+26)
Dusp7	. (-650)
Dut	. (+267)
Dvl2	. (+14)
Dvl3	. (-203)
Dym	. (-66)
Dync1h1	. (-9931), . (+61)
Dync1li2	. (+38)
Dynll1	. (-18749), . (-29)
Dynll2	. (+10), . (+19598)
Dyrk1a	. (-452)
Dyrk2	. (-210438)
E030011O05Rik	. (-4273), . (+82637)
E2f2	. (+5594)
E2f5	. (+26)
Ears2	. (+106)
Ebf1	. (+390958)
Ecd	. (-20)
Eci1	. (+53)
Ect2	. (-75)
Edf1	. (-81)
Eef1a1	. (-45748), . (+10)
Eef1d	. (+4)
Eef1g	. (-6)
Eef2	. (-1275), . (-1)
Eef2k	. (-147)
Efcab10	. (-14584)
Efcab2	. (-36675), . (+655)
Egfr	. (-160531)
Egln3	. (-113356), . (-109658)
Egr1	. (-3448), . (+304)
Ehbp1l1	. (-1576)
Ehd1	. (-24), . (+21137)
Ehd3	. (-24)
Ehmt2	. (-4721), . (-669)
Eid2b	. (+78)
Eif1	. (+581)
Eif1b	. (-44)
Eif2b1	. (+12)
Eif2b3	. (+6)
Eif2b4	. (+38)
Eif2b5	. (-115)
Eif2d	. (-45), . (+46990)
Eif2s1	. (-31)
Eif2s2	. (+81)
Eif3a	. (+75)
Eif3c	. (-125)
Eif3d	. (-131)
Eif3e	. (+27)
Eif3f	. (-129)
Eif3g	. (-59)
Eif3i	. (-170)
Eif4a1	. (-47)
Eif4a2	. (+114)
Eif4e	. (+986)
Eif4e2	. (-13)
Eif4ebp1	. (+1060)
Eif4enif1	. (-415)
Eif4g1	. (+79)
Eif4h	. (-55)
Eif5a	. (-269)
Eif5b	. (-744)
Eif6	. (+7885)
Elac2	. (-101)
Elf2	. (-24867)
Elf4	. (-101), . (+110317)
Elk3	. (-121582)
Ell2	. (+90455)
Ell3	. (-4981)
Elmsan1	. (-72)
Elovl5	. (-86)
Elp2	. (-83)
Emc1	. (-120)
Emc7	. (-218)
Emc8	. (-50)
Eme1	. (+95)
Eme2	. (-1367), . (-161)
Emg1	. (+95)
Emilin1	. (+2732)
Emr1	. (-11530)
Enc1	. (-41)
Endov	. (-46)
Eno1	. (+3215)
Eno3	. (-2521)
Ensa	. (+25657)
Entpd6	. (-8)
Eny2	. (-91)
Ep300	. (-71632), . (-63045)
Ep400	. (-281)
Epb4.1	. (-126)
Epb4.1l4a	. (+212353)
Epb4.1l5	. (+122697)
Epc1	. (+793)
Epcam	. (-64222)
Epg5	. (-122)
Epn1	. (-48)
Eprs	. (-190)
Eps15l1	. (-50)
Ercc6l	. (-73)
Ercc8	. (-163)
Ergic1	. (-121), . (+101677)
Erh	. (+305)
Eri3	. (+31)
Erich1	. (-84)
Erlec1	. (-243)
Erlin2	. (-70)
Ermp1	. (+63)
Ern1	. (-13109)
Esco1	. (+174)
Esd	. (+190019)
Espl1	. (-83)
Esr1	. (+582924)
Esyt1	. (-10724), . (-170)
Esyt2	. (+64)
Etf1	. (-58)
Ets1	. (-138)
Ets2	. (+27071), . (+125445)
Etv3	. (+166)
Etv5	. (-108685)
Eva1b	. (-37248)
Exo5	. (-361)
Exoc5	. (+167)
Exosc1	. (-83)
Exosc2	. (+42)
Exosc4	. (-7)
Exosc7	. (-164)
Exosc8	. (+34)
Ext2	. (-95)
Extl3	. (-51909), . (-162)
Ezh2	. (-212)
Ezr	. (-45210), . (-70), . (+4366)
F8	. (-108)
Fads6	. (+69)
Faf1	. (-59)
Faf2	. (-31)
Fahd1	. (+268)
Fam101b	. (-22)
Fam107b	. (-55403)
Fam110c	. (-14320)
Fam118a	. (-229)
Fam118b	. (-103)
Fam120a	. (+89269)
Fam126a	. (+180147)
Fam129b	. (+36396)
Fam134a	. (-207)
Fam134c	. (-42)
Fam149b	. (-81)
Fam160b1	. (-244)
Fam168b	. (-201)
Fam172a	. (-27)
Fam173a	. (-274)
Fam174b	. (-121804)
Fam175a	. (+136)
Fam178a	. (-122)
Fam179b	. (-260)
Fam189a2	. (-135596)
Fam193a	. (-51164)
Fam195b	. (+88)
Fam19a3	. (+101006)
Fam210a	. (+130)
Fam210b	. (-69190)
Fam211a	. (-406), . (+45817), . (+71660)
Fam214b	. (+5838)
Fam216a	. (-166)
Fam219b	. (-2)
Fam220a	. (-81)
Fam220a	. (-79)
Fam3a	. (+52)
Fam3c	. (+63)
Fam43a	. (-32)
Fam49b	. (+793)
Fam65b	. (-138965), . (-137138)
Fam69a	. (+26179)
Fam73b	. (-188)
Fam83e	. (-3147)
Fam89b	. (-2016)
Fam98a	. (-51)
Fancc	. (+53)
Fance	. (-56512)
Far1	. (+95674)
Farsa	. (-3)
Fasn	. (+269)
Fastk	. (-2594), . (+123)
Fblim1	. (+40517)
Fbp2	. (+2185)
Fbxl6	. (+23)
Fbxo10	. (-69)
Fbxo11	. (-192183), . (-186800), . (-48188), . (-1111), . (+22586)
Fbxo16	. (+77132)
Fbxo30	. (-317)
Fbxo33	. (-211)
Fbxo34	. (-17), . (+61361)
Fbxo36	. (-219)
Fbxo42	. (-183)
Fbxo45	. (-26)
Fbxo47	. (-52069)
Fbxo6	. (+10)
Fbxo7	. (+92)
Fbxo9	. (-4073)
Fbxw11	. (-361)
Fbxw2	. (-79)
Fbxw7	. (-272994)
Fcgr1	. (+15619)
Fcho2	. (-75595)
Fchsd2	. (-398)
Fcrlb	. (+11075)
Fdx1l	. (+89)
Fdxacb1	. (+114)
Fdxr	. (-77)
Fem1b	. (-177)
Fgd2	. (+76490), . (+77734)
Fgd3	. (+86)
Fgd6	. (-71)
Fgf1	. (+286928)
Fgf11	. (-2128)
Fgf21	. (+23362)
Fgf9	. (-558)
Fgfr1	. (-243703)
Fgfr4	. (+37637)
Fhdc1	. (+166114)
Fhit	. (+708820)
Fibp	. (-3244)
Fip1l1	. (-3584)
Fkbp1a	. (+6)
Fkbp4	. (-64)
Fkbp5	. (-36824), . (-7)
Fkbp8	. (-4628)
Flii	. (-1164)
Flot1	. (-1750), . (-24)
Fmnl1	. (-11823)
Fmr1	. (-159)
Fnbp4	. (-66082)
Fndc3a	. (-273525), . (-177167)
Fndc8	. (-1497)
Fntb	. (+62)
Fos	. (-148), . (+24059)
Foxj2	. (-15273)
Foxj3	. (-317)
Foxk1	. (-33966)
Foxn2	. (-327232), . (-188620), . (-183237), . (+1174)
Foxn3	. (+646)
Foxo1	. (-5724)
Foxo3	. (+245523)
Foxp4	. (-115198), . (-223)
Foxs1	. (+18620)
Fpgs	. (+49)
Fra10ac1	. (-146)
Frg1	. (-21)
Frmd6	. (-116)
Frmd8	. (-2681), . (+24976), . (+29808), . (+87867)
Frs3	. (-341)
Fscn1	. (-39473)
Fscn2	. (-7785)
Fstl1	. (-91785), . (+37595)
Ftsj1	. (-165)
Ftsjd2	. (+7)
Fubp3	. (-63)
Fundc2	. (+25)
Fv1	. (-291)
Fyttd1	. (+17)
Fzd3	. (+112448)
Fzd7	. (-202)
G2e3	. (-79)
G3bp1	. (-160)
G6pc3	. (-248), . (+29294)
G930045G22Rik	. (-392799)
Gaa	. (+42)
Gabpb2	. (-51)
Gadd45b	. (-129), . (+69969)
Gadd45g	. (-201), . (+123522)
Gal3st3	. (-2792)
Galk1	. (+179)
Gamt	. (-3944)
Gar1	. (+41)
Gars	. (-18)
Gata2	. (-4192)
Gatc	. (+43)
Gbp3	. (+547)
Gcat	. (-2361), . (-113)
Gcc1	. (-29)
Gclc	. (-3873), . (+216)
Gclm	. (-123201), . (-82)
Gcnt4	. (-226735)
Gcsh	. (+143)
Gdf15	. (+2201)
Gdf9	. (-2442)
Gdi1	. (+143)
Gdi2	. (-232)
Gdpd1	. (-85)
Gdpgp1	. (-128)
Gemin5	. (+180)
Gemin6	. (+97)
Gemin7	. (+259)
Get4	. (+7)
Gfer	. (+265)
Gfm1	. (-4)
Gga2	. (+62)
Gga3	. (+115)
Ggct	. (+7)
Ggnbp1	. (-651)
Gid4	. (-106)
Gigyf2	. (-106)
Gin1	. (+72)
Gins1	. (-4803), . (+88)
Gipr	. (+8501)
Gjd3	. (+40899)
Gk5	. (+76869)
Gla	. (+45)
Glb1	. (-45)
Glce	. (-48272)
Glipr2	. (+192)
Glis2	. (-26766)
Glo1	. (+65)
Glod4	. (-38)
Glrp1	. (-129908), . (-77730)
Glrx	. (-41929)
Glrx5	. (-7114), . (-356)
Gltp	. (+23461)
Gltscr1	. (-48587)
Glul	. (+11)
Glyr1	. (+28)
Gm10006	. (-147820)
Gm10197	. (+42271), . (+57326)
Gm10277	. (-14897), . (-5784)
Gm10300	. (+721)
Gm10309	. (+57901), . (+60175), . (+160951)
Gm10382	. (+531)
Gm10472	. (-64)
Gm10518	. (+449)
Gm10549	. (+330690)
Gm10621	. (+666)
Gm10655	. (-159), . (+372851)
Gm10699	. (-50)
Gm10762	. (+558)
Gm11175	. (-690), . (+1125)
Gm11696	. (+863)
Gm11733	. (-191733), . (-173112), . (-165441)
Gm12500	. (+709)
Gm13769	. (+152732)
Gm14137	. (-239)
Gm14221	. (+16558)
Gm14226	. (+32649)
Gm15319	. (-61489), . (+174132)
Gm15409	. (+5)
Gm15440	. (-47171)
Gm16181	. (-2035)
Gm16253	. (-280), . (+3326)
Gm16314	. (-153)
Gm16494	. (-16751)
Gm16515	. (-57)
Gm17655	. (-48096)
Gm20390	. (-139)
Gm20458	. (-40)
Gm20517	. (-237)
Gm20683	. (-2773)
Gm20695	. (-65)
Gm21981	. (-2391)
Gm21988	. (-54)
Gm355	. (-387176), . (-295956), . (-178673), . (-46363)
Gm3940	. (-22744)
Gm4793	. (-39924)
Gm4906	. (+425477)
Gm4945	. (+9332)
Gm5069	. (-101461), . (-97874), . (-56950)
Gm5174	. (+29519)
Gm5218	. (-23621), . (-15034)
Gm525	. (+26956)
Gm5464	. (-222)
Gm5600	. (+98665)
Gm6483	. (+102388)
Gm6772	. (+64690), . (+100333)
Gm7008	. (+606)
Gm7325	. (-24920)
Gm7866	. (+41584)
Gm815	. (-137900)
Gm8214	. (+592804)
Gm8325	. (-273683)
Gm8444	. (+12086)
Gm8973	. (-20452)
Gm9047	. (-3562)
Gm9705	. (-70097)
Gm9869	. (-161142)
Gm9887	. (+670)
Gm9900	. (-142)
Gm9905	. (+755)
Gm9958	. (-726)
Gmfb	. (+202)
Gna11	. (-6602)
Gna13	. (-40)
Gnai2	. (+8522)
Gnas	. (+29713)
Gnb1	. (-59)
Gnb1l	. (-38652), . (-140)
Gnb2	. (+145)
Gne	. (+11298)
Gng13	. (-39083)
Gng7	. (+14865)
Gngt2	. (-7084)
Gnpat	. (-18)
Gnpda1	. (-28504), . (-106)
Gnptg	. (+128)
Golga1	. (+7)
Golga2	. (-82)
Golga3	. (-225)
Golgb1	. (-200)
Gorasp2	. (-82)
Gosr1	. (-24)
Gosr2	. (+27)
Gpaa1	. (-3841)
Gpam	. (-45)
Gpatch4	. (+29)
Gpi1	. (-3969), . (-75)
Gpn3	. (+79), . (+7347)
Gpr107	. (+87107)
Gpr180	. (-90)
Gpr3	. (+27092)
Gpr68	. (+68879)
Gprasp1	. (-197)
Gps2	. (-155)
Gpt2	. (-184)
Gpx1	. (+26)
Gramd2	. (-47909)
Grasp	. (+22233)
Grcc10	. (-4245), . (+73)
Grk4	. (-66)
Grk5	. (+187)
Grlf1	. (-349)
Grm4	. (+11601)
Grn	. (+88)
Grpel2	. (-27)
Grtp1	. (-13242)
Gsc2	. (-6811)
Gsdmd	. (+21960)
Gsg2	. (-29)
Gspt1	. (-151)
Gss	. (+51)
Gstcd	. (-95)
Gstp1	. (+8)
Gtf2b	. (-75)
Gtf2f1	. (-175)
Gtf2h1	. (-210)
Gtf2h2	. (+99)
Gtf2h3	. (-21)
Gtf2h5	. (+40)
Gtl3	. (-74)
Gtpbp2	. (-329), . (+2090)
Gtpbp4	. (-115)
Gtpbp6	. (-1999)
Gusb	. (+146)
Gyg	. (+78431)
Gypc	. (+125)
Gys1	. (-360)
H13	. (-37)
H2-D1	. (-4896), . (-90), . (+38863)
H2-DMa	. (+305)
H2-DMb1	. (+18107)
H2-Ke6	. (+130)
H2-Oa	. (+9454), . (+27091)
H2-Ob	. (-3745)
H2-Q1	. (-18601)
H2afb1	. (-30619)
H2afy	. (+19)
H2afz	. (-132)
H3f3a	. (+45146)
Haao	. (-334969), . (-272798), . (-182011), . (-4053), . (+114460)
Habp4	. (+86965)
Hagh	. (-456)
Hapln1	. (+198740)
Harbi1	. (-66)
Hars	. (-42)
Hars2	. (+239)
Hat1	. (+308)
Haus2	. (+68)
Haus4	. (-107)
Haus8	. (+417)
Hax1	. (-99)
Hc	. (+97691)
Hcfc1r1	. (-4)
Hcfc2	. (+176)
Hcn3	. (-4634)
Hdac10	. (+143)
Hdac2	. (-177)
Hdac4	. (-32377)
Hdac5	. (+48), . (+11203)
Hdac7	. (+46), . (+6526)
Hdgf	. (-198)
Hdgfrp2	. (-4599)
Hdlbp	. (+220)
Heatr6	. (+123)
Hectd3	. (-885)
Hecw2	. (+403465)
Helq	. (-28)
Helz	. (-35795)
Hemk1	. (-2), . (+25384)
Herpud1	. (-7)
Herpud2	. (-135)
Hes1	. (-1033), . (+122839)
Hes6	. (-20)
Hexa	. (+77)
Hexim2	. (-306), . (+25939)
Hiat1	. (+93)
Hif1a	. (-128300), . (-96)
Higd2a	. (+17)
Hilpda	. (-77)
Hint3	. (+30)
Hipk1	. (-179)
Hipk3	. (+908)
Hist1h2bj	. (+7694)
Hist2h2bb	. (+8598)
Hist2h4	. (+49)
Hjurp	. (-61)
Hk2	. (+34006), . (+71603)
Hlcs	. (+211)
Hltf	. (+18974)
Hmcn1	. (-257885)
Hmg20b	. (-373)
Hmga1-rs1	. (+13450)
Hmgcr	. (-27018)
Hmgn1	. (-337)
Hmgxb3	. (-43)
Hmox1	. (-24)
Hnrnpd	. (-110)
Hnrnpf	. (-20829)
Hnrnph1	. (-120)
Hnrnph2	. (-178)
Hnrnph3	. (-164)
Hnrnpk	. (+744)
Hnrnpm	. (+1408)
Hnrnpu	. (-31409), . (-111), . (+1261)
Hnrnpul1	. (-1461)
Hnrpll	. (+57505)
Hoga1	. (-431)
Homer1	. (-4380)
Homer3	. (+45)
Hook2	. (+91)
Hoxa7	. (-4466)
Hoxc10	. (-164)
Hpca	. (+5688)
Hprt	. (-134)
Hps1	. (+115)
Hps3	. (+135)
Hps5	. (+134)
Hrsp12	. (-166)
Hs2st1	. (-316)
Hs6st1	. (-3336)
Hscb	. (-155)
Hsd17b12	. (-14)
Hsf1	. (-96)
Hsf2bp	. (-1864)
Hsp90aa1	. (-6947), . (-64)
Hsp90ab1	. (-659)
Hsp90b1	. (+20051)
Hspa14	. (-166)
Hspa14	. (-111)
Hspa1b	. (+6512)
Hspa9	. (-179)
Hspb9	. (-1379)
Hspd1	. (-209)
Hspe1	. (+101)
Htra2	. (-68)
Htra4	. (-31413)
Hus1	. (+37)
Hyls1	. (-141)
Hyou1	. (-50)
Iars	. (-32)
Ick	. (+3946)
Id2	. (-112908), . (-94474)
Id3	. (-32823)
Idua	. (-173)
Ier3	. (-8372), . (-204)
Ier5l	. (+10092)
Ifi47	. (+11730)
Ifltd1	. (+158480)
Ifrd1	. (-175)
Ift140	. (-395)
Ift20	. (+4)
Ift46	. (-89)
Ift80	. (-244)
Ighmbp2	. (+110)
Igsf8	. (-2327)
Igtp	. (+1676)
Ikzf5	. (-30)
Il10ra	. (-31644)
Il12a	. (+3103)
Il13	. (+7713)
Il4	. (-8320), . (+1156)
Il5	. (+14811), . (+43019)
Il6ra	. (+127)
Ilf3	. (-372)
Ilk	. (-5)
Ilkap	. (+35)
Imp4	. (-166)
Impdh1	. (+246)
Inf2	. (-50)
Ing3	. (-150)
Ing5	. (-1959), . (-204)
Ino80d	. (-211)
Inpp5e	. (+2)
Insig2	. (+7)
Ints12	. (+33)
Ints6	. (-200)
Ints7	. (+160)
Ip6k1	. (-7)
Ip6k2	. (-3262)
Ipo13	. (-261)
Ipo4	. (+30)
Ipo7	. (-152)
Ipo9	. (-114350), . (-1)
Ippk	. (-165)
Iqcd	. (-195)
Iqce	. (-2266)
Irak1bp1	. (+96)
Irak2	. (+4)
Irf1	. (-34409), . (-6201)
Irf2bp2	. (-288545), . (-254495), . (-245721), . (-2949)
Irf2bpl	. (-47), . (+48065), . (+83708)
Irf5	. (-9280)
Irf9	. (+540)
Irgm2	. (-13796)
Irs2	. (-417)
Isca1	. (-352)
Isca2	. (+11443)
Iscu	. (+1090)
Ist1	. (+119)
Isy1	. (-84)
Itch	. (+22)
Itgb7	. (+6554)
Itm2b	. (-56723), . (-32)
Itm2c	. (+1356)
Itpr1	. (+358141)
Itpr2	. (+495852)
Itpr3	. (-954)
Itsn1	. (+188431)
Ivns1abp	. (-93562)
Jak1	. (-36)
Jarid2	. (-866177)
Jdp2	. (-101467)
Jmjd1c	. (+58422)
Jrk	. (+139)
Jtb	. (+116)
Junb	. (-25)
Jund	. (+1216)
Kansl1l	. (+1385)
Kansl2	. (+21165)
Kat2a	. (-6)
Kat2b	. (-45), . (+20488)
Kat5	. (-86)
Kat6a	. (-132)
Kat6b	. (-423827)
Kat7	. (-517)
Katnbl1	. (+25)
Kazn	. (-956768)
Kbtbd4	. (-35)
Kbtbd7	. (-49)
Kcnab3	. (-2307)
Kcnb1	. (+116822)
Kcnf1	. (+143391)
Kcnh2	. (+84979)
Kcnj12	. (-86945)
Kcnk5	. (+118)
Kcnrg	. (+41416)
Kcp	. (-9395)
Kctd17	. (+21789)
Kctd18	. (+67)
Kctd2	. (-157)
Kctd5	. (+139)
Kctd7	. (+28), . (+26641)
Kctd9	. (-710)
Kdm1a	. (-36)
Kdm3a	. (-452)
Kdm4b	. (-449), . (+31626)
Kdm4c	. (-67)
Kdm5b	. (+19)
Kdm5c	. (+42)
Kdm6a	. (-98)
Kdm6b	. (-3852)
Kdsr	. (-51)
Khdrbs1	. (-68869), . (-89)
Khk	. (-5422), . (+60)
Kidins220	. (+56)
Kif11	. (-244)
Kif1b	. (-112)
Kif23	. (-35)
Kif26a	. (+145847)
Kif3a	. (+50134)
Kif6	. (+410153)
Kifc1	. (-65), . (+25099)
Kifc5b	. (-30835), . (-94)
Klc4	. (-1113)
Klf10	. (-173004), . (-170161), . (-175)
Klf12	. (-134621)
Klf13	. (+41905)
Klf14	. (-149117)
Klf3	. (+81830)
Klf6	. (-173)
Klhdc4	. (-68939), . (-21538), . (-185)
Klhl11	. (+88)
Klhl12	. (-5)
Klhl22	. (+1457)
Klhl24	. (-8)
Klhl28	. (-144)
Kpna1	. (-128)
Kpna3	. (-231)
Kpna4	. (-91)
Kras	. (-26206), . (-190)
Krit1	. (-151)
Krt78	. (-30030)
Krt8	. (+20025)
Krtcap2	. (+234)
Ksr1	. (-67777), . (+42), . (+69740), . (+74736)
Kxd1	. (+61)
L2hgdh	. (-34)
Lactb	. (-68434), . (-25786)
Lactb2	. (+6)
Lamc2	. (+94196)
Lamp1	. (+210)
Lamp2	. (-17351)
Lamtor1	. (-66)
Lamtor2	. (+1)
Lamtor3	. (-191)
Lamtor4	. (+73)
Laptm4a	. (+537)
Larp1	. (-364)
Larp4	. (+100)
Las1l	. (-143)
Lbp	. (+55130)
Lbr	. (-61)
Lclat1	. (-173), . (+155227)
Ldha	. (-1473)
Lef1	. (-291572)
Lekr1	. (-7051)
Lemd2	. (-297302), . (-47)
Leng8	. (-92)
Letm1	. (+163)
Letmd1	. (-97)
Lgals1	. (+1611)
Lgals7	. (+3552)
Lgals9	. (-91721), . (-86725)
Lgmn	. (+144418)
Lhx3	. (+73395)
Lias	. (-121)
Limk2	. (-34), . (+76818)
Lin54	. (+71048)
Lin9	. (+21)
Lipt2	. (+130)
Litaf	. (+13607)
Llgl1	. (-55)
Lmbr1l	. (+143)
Lmbrd1	. (-76)
Lmbrd2	. (-332)
Lmf1	. (-12), . (+98911)
Lmln	. (-187)
Lmna	. (-18736), . (-6678), . (+11946)
Lmnb1	. (-218)
Lmo4	. (-3074)
Lmtk2	. (-153)
Lnx2	. (-89)
Lonp1	. (-10)
Loxl1	. (+37818)
Loxl2	. (+98321)
Lpar3	. (-43229)
Lpcat4	. (+7)
Lphn1	. (-151241)
Lpin1	. (-3), . (+379031)
Lpin2	. (-21247), . (+27)
Lpxn	. (-3742)
Lrch1	. (+25561)
Lrdd	. (-3439)
Lrig2	. (-282)
Lrp11	. (+4)
Lrp4	. (+69161)
Lrp6	. (-200)
Lrpprc	. (-232)
Lrrc1	. (-161)
Lrrc14	. (-104), . (+4772)
Lrrc24	. (-1656)
Lrrc25	. (+13050)
Lrrc29	. (-149)
Lrrc33	. (-57)
Lrrc40	. (-93)
Lrrc57	. (-136)
Lrrc58	. (-53921), . (+77)
Lrrc59	. (-200)
Lrrc73	. (+12105)
Lrrc8a	. (-89)
Lrrfip1	. (-622)
Lrsam1	. (-154)
Lrwd1	. (+81)
Lsg1	. (-168)
Lsm1	. (-246)
Lsm11	. (+99)
Lsm12	. (-4125)
Lsm14b	. (-187)
Lsm2	. (-195)
Lsm4	. (+307)
Lta	. (-4823)
Lta4h	. (-20679)
Ltb	. (+1196), . (+6194)
Ltbp4	. (+4838)
Luc7l	. (-9)
Luc7l3	. (-69)
Ly6g6f	. (-3670)
Ly86	. (+312967)
Ly96	. (+68)
Lyar	. (+54)
Lyl1	. (+149)
Lyrm9	. (+95)
Lztfl1	. (-63)
M1ap	. (+50059)
M6pr	. (+55)
Macrod1	. (+28)
Mad2l1bp	. (-7)
Maea	. (-186)
Mafa	. (-541)
Mafb	. (-236348)
Mafk	. (+41)
Magt1	. (+29)
Maml1	. (-18)
Maml3	. (-157722)
Man1b1	. (-117)
Man2a1	. (+1473)
Man2b2	. (-31)
Manba	. (-188)
Manf	. (-152)
Map1lc3b	. (-4920), . (-117)
Map2k1	. (+39)
Map2k2	. (+74)
Map2k3	. (-142), . (+3586)
Map2k5	. (-70)
Map3k11	. (-247)
Map3k15	. (-252586)
Map3k4	. (-26787), . (-21724)
Map3k4	. (-48843), . (-211)
Map4k1	. (+56933)
Map4k5	. (+206)
Mapk13	. (-7283)
Mapk14	. (-74), . (+70682)
Mapk1ip1l	. (-98)
Mapk6	. (-85)
Mapk8	. (-119)
Mapk8ip2	. (+22323)
Mapkapk3	. (+67)
Mapkapk5	. (-18821), . (-89)
March9	. (-3367)
Marcks	. (+1637)
Marf1	. (-3828), . (-522)
Mars2	. (-28)
Matn1	. (+2949)
Matn4	. (-36701)
Matr3	. (+80)
Max	. (-66)
Mbd1	. (-107)
Mbd6	. (-1723)
Mblac2	. (-269)
Mbnl1	. (+102077)
Mbtd1	. (+18)
Mbtps2	. (+39)
Mc3r	. (+27883)
Mc4r	. (+341017)
Mccc1	. (+96)
Mccc2	. (-71)
Mcee	. (-394)
Mcfd2	. (-26), . (+18847), . (+63284), . (+146735)
Mcl1	. (-8084)
Mcm2	. (-5)
Mcm3	. (-95)
Mcm3ap	. (+98)
Mcm8	. (-1)
Mcmbp	. (-6)
Mcoln2	. (+27899)
Mcph1	. (-77)
Mdc1	. (-3226), . (-127)
Mdp1	. (+210)
Me2	. (-175)
Meaf6	. (-135), . (+39837)
Med11	. (+148)
Med13	. (-656)
Med13l	. (-200485)
Med14	. (-279756)
Med17	. (-4)
Med18	. (-102)
Med20	. (-206)
Med23	. (-45)
Med27	. (-40)
Med29	. (-182)
Med4	. (-68055), . (+67), . (+15026)
Med6	. (-166)
Mef2a	. (-153)
Mef2b	. (+5800)
Mef2d	. (-3954), . (-434), . (+35329)
Meig1	. (-1391)
Memo1	. (-21680), . (-678)
Men1	. (-3427), . (-228)
Metap1	. (-165)
Metap1d	. (+126)
Mettl10	. (+75)
Mettl14	. (+107)
Mettl21d	. (-18)
Mettl25	. (+157)
Mettl3	. (+24)
Mettl5	. (-60)
Mettl8	. (-25)
Mettl9	. (-104)
Mex3a	. (-22382), . (-10324)
Mex3b	. (-1027)
Mex3c	. (-814)
Mex3d	. (-111)
Mfap1a	. (-8)
Mfap3l	. (+226926)
Mfrp	. (-22468)
Mfsd1	. (-70)
Mfsd10	. (+175)
Mfsd11	. (-261)
Mfsd5	. (+50)
Mfsd7b	. (-87)
Mfsd7c	. (-40968)
Mfsd8	. (+227)
Mgarp	. (+31115)
Mgat2	. (-130), . (+13124)
Mgat5b	. (+163046)
Mgme1	. (+13)
Mgst3	. (-435)
Micu2	. (-142)
Mien1	. (+29)
Miip	. (+31)
Minpp1	. (+100)
Mipol1	. (-50)
Mitd1	. (-27)
Mki67ip	. (-21)
Mknk2	. (-1878)
Mll2	. (-1001)
Mll5	. (-1524)
Mllt1	. (-345)
Mllt11	. (+195)
Mlst8	. (+120)
Mlx	. (-4831), . (-170)
Mlxip	. (-188)
Mlycd	. (-29)
Mmaa	. (-90)
Mmachc	. (+4407)
Mmgt1	. (-35)
Mmgt2	. (+94)
Mmp14	. (-4768)
Mmp24	. (+43698)
Mnd1	. (+127)
Mnf1	. (+48)
Mnt	. (-351), . (+7082)
Mob1b	. (-115)
Mob2	. (+86)
Mob3c	. (+230)
Mob4	. (-80)
Mogs	. (-149)
Morc2a	. (-399)
Morf4l1	. (+1053)
Morf4l2	. (+1802)
Morn3	. (-10996)
Mpc2	. (+83)
Mpdu1	. (+93)
Mphosph10	. (+17)
Mphosph8	. (-2)
Mpnd	. (+21915)
Mrgbp	. (+44)
Mrm1	. (+66)
Mrp63	. (+80)
Mrpl1	. (+595)
Mrpl12	. (-18)
Mrpl13	. (+366)
Mrpl14	. (+49354)
Mrpl16	. (+38)
Mrpl17	. (-62)
Mrpl18	. (+51)
Mrpl2	. (+28)
Mrpl21	. (+6)
Mrpl22	. (-3302)
Mrpl23	. (+303)
Mrpl27	. (+102)
Mrpl28	. (-3186)
Mrpl30	. (-39)
Mrpl34	. (-184)
Mrpl36	. (+76)
Mrpl38	. (+35)
Mrpl39	. (+424)
Mrpl4	. (+68)
Mrpl43	. (-104)
Mrpl44	. (+162)
Mrpl47	. (+252)
Mrpl48	. (-7995)
Mrpl52	. (-73)
Mrps10	. (-36247)
Mrps14	. (-73)
Mrps16	. (-124)
Mrps17	. (+48)
Mrps18a	. (-37044), . (-35896), . (-209)
Mrps18c	. (-1)
Mrps23	. (-16621), . (-85)
Mrps26	. (-126)
Mrps27	. (-124)
Mrps28	. (+141)
Mrps30	. (+33)
Mrps33	. (+66)
Mrps34	. (+132)
Mrps7	. (+11)
Mrto4	. (+109)
Msh6	. (-137), . (+67655)
